2020-04-23 03:03:48 status half-installed libbrotli-dev:amd64 1.0.7-2
2020-04-23 03:03:48 status unpacked libbrotli-dev:amd64 1.0.7-2
2020-04-23 03:03:48 install libkeyutils1:amd64 <none> 1.6-6
2020-04-23 03:03:48 status half-installed libkeyutils1:amd64 1.6-6
2020-04-23 03:03:48 status unpacked libkeyutils1:amd64 1.6-6
2020-04-23 03:03:48 install libkrb5support0:amd64 <none> 1.17-3
2020-04-23 03:03:48 status half-installed libkrb5support0:amd64 1.17-3
2020-04-23 03:03:48 status unpacked libkrb5support0:amd64 1.17-3
2020-04-23 03:03:48 install libk5crypto3:amd64 <none> 1.17-3
2020-04-23 03:03:48 status half-installed libk5crypto3:amd64 1.17-3
2020-04-23 03:03:48 status unpacked libk5crypto3:amd64 1.17-3
2020-04-23 03:03:48 install libkrb5-3:amd64 <none> 1.17-3
2020-04-23 03:03:48 status half-installed libkrb5-3:amd64 1.17-3
2020-04-23 03:03:48 status unpacked libkrb5-3:amd64 1.17-3
2020-04-23 03:03:48 install libgssapi-krb5-2:amd64 <none> 1.17-3
2020-04-23 03:03:48 status half-installed libgssapi-krb5-2:amd64 1.17-3
2020-04-23 03:03:48 status unpacked libgssapi-krb5-2:amd64 1.17-3
2020-04-23 03:03:48 install libnghttp2-14:amd64 <none> 1.36.0-2+deb10u1
2020-04-23 03:03:48 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-04-23 03:03:48 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2020-04-23 03:03:48 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2
2020-04-23 03:03:48 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-04-23 03:03:48 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-04-23 03:03:48 install libssh2-1:amd64 <none> 1.8.0-2.1
2020-04-23 03:03:48 status half-installed libssh2-1:amd64 1.8.0-2.1
2020-04-23 03:03:48 status unpacked libssh2-1:amd64 1.8.0-2.1
2020-04-23 03:03:48 install libcurl4:amd64 <none> 7.64.0-4+deb10u1
2020-04-23 03:03:48 status half-installed libcurl4:amd64 7.64.0-4+deb10u1
2020-04-23 03:03:48 status unpacked libcurl4:amd64 7.64.0-4+deb10u1
2020-04-23 03:03:48 install libcurl4-openssl-dev:amd64 <none> 7.64.0-4+deb10u1
2020-04-23 03:03:48 status half-installed libcurl4-openssl-dev:amd64 7.64.0-4+deb10u1
2020-04-23 03:03:49 status unpacked libcurl4-openssl-dev:amd64 7.64.0-4+deb10u1
